                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     52,                0.78616,                 0.4103,                0.87391,                0.97307,                0.97166,                0.98938,                0.52957,                 1.6525,                0.57624,                 1.2243,              0.0009902,              0.0009902,              0.0009902
                     53,                0.77943,                0.40891,                0.87098,                0.97582,                0.95344,                0.98943,                0.54731,                 1.6313,                0.56796,                 1.2079,              0.0009704,              0.0009704,              0.0009704
                     54,                0.78332,                0.40775,                0.87542,                0.96182,                  0.969,                0.98692,                0.54777,                  1.639,                0.57398,                 1.2286,              0.0009506,              0.0009506,              0.0009506
                     55,                0.77302,                0.40366,                 0.8735,                0.97036,                0.95951,                0.98745,                0.52935,                  1.688,                 0.5862,                 1.2347,              0.0009308,              0.0009308,              0.0009308
                     56,                0.76375,                0.39843,                0.86931,                0.95594,                0.96628,                0.98524,                0.51629,                 1.6756,                0.59254,                 1.2228,               0.000911,               0.000911,               0.000911
                     57,                0.76186,                0.39822,                 0.8675,                0.96457,                0.96356,                0.98985,                0.54784,                  1.615,                0.56988,                 1.2029,              0.0008912,              0.0008912,              0.0008912
                     58,                0.74105,                0.39214,                0.86511,                 0.9659,                0.97488,                0.98856,                0.52628,                 1.6858,                0.57383,                 1.2303,              0.0008714,              0.0008714,              0.0008714
                     59,                0.74905,                0.39427,                0.86941,                0.96108,                0.98178,                0.98998,                0.55698,                 1.6071,                0.55263,                 1.2062,              0.0008516,              0.0008516,              0.0008516
                     60,                0.74741,                0.39256,                0.86874,                0.96053,                0.97166,                0.99138,                0.55461,                 1.5962,                0.57066,                   1.19,              0.0008318,              0.0008318,              0.0008318
                     61,                0.73259,                 0.3856,                0.86625,                0.97731,                0.95912,                0.98996,                0.54698,                 1.6197,                0.55319,                 1.2074,               0.000812,               0.000812,               0.000812
                     62,                0.73469,                 0.3868,                0.86648,                0.96612,                0.96356,                0.98832,                0.52871,                 1.6603,                0.56412,                 1.2179,              0.0007922,              0.0007922,              0.0007922
